Name	N duplicates	Raw 0	Raw 1	Raw 2	Raw 3	Raw 4	Raw 5	Raw 6	Raw 7	Raw 8	Raw 9	Raw 10	Raw 11	Raw 12	Raw 13	Raw 14	Raw 15	Raw 16	Ratio 0	Ratio 1	Ratio 2	Ratio 3	Ratio 4	Ratio 5	Ratio 6	Ratio 7	Ratio 8	Ratio 9	Ratio 10	Ratio 11	Ratio 12	Ratio 13	Ratio 14	Ratio 15	Ratio 16	Signal Quality	pEC50	Curve Slope	Curve Front	Curve Back	Curve Fold Change	Curve AUC	Curve RMSE	Curve R2	pEC50 Error	Curve Slope Error	Curve Front Error	Curve Back Error	Null Model	Null RMSE	Curve F_Value	Curve P_Value	Curve Log P_Value	Curve F_Value SAM Corrected	Curve Relevance Score	Curve Regulation
KP-2_NPC-26	1	1.0	0.9849	0.9542	1.021	1.033	1.012	1.062	1.079	1.039	1.0	0.9868	0.9377	0.9987	1.052	1.077		0.9242	1.0	0.9849	0.9542	1.021	1.033	1.012	1.062	1.079	1.039	1.0	0.9868	0.9377	0.9987	1.052	1.077		0.9242	0.0	4.565555392367614	9.999439609256667	1.0164979934652625	0.9226154665985656	-0.11317057704137815	1.0129999493438817	0.03917055571561855	0.24257075653462323	729333.8429351771	16310989.679352352	0.01254650434008855	44755.46992303968	1.0113010638297872	0.045024084583932346	1.2848213236869008	0.3860558079836074	0.4133499094541711	0.1798772012515332	0.0013276862473414223	not
KP-3_CIL70	1	1.0	0.9679	1.008	1.04	1.072	1.012	0.9906	0.9735	1.024	1.081	1.033		1.045	0.9869	0.964	1.039	0.9882	1.0	0.9679	1.008	1.04	1.072	1.012	0.9906	0.9735	1.024	1.081	1.033		1.045	0.9869	0.964	1.039	0.9882	0.0	5.421191468796296	10.0	1.0232080793434877	0.995086375894544	-0.007106334388333682	1.0168458539255696	0.032711671939299664	0.10008616194198161	1.769653331232512	139.65138786743532	0.011388739758461655	0.02182296783187476	1.0164812015790903	0.0345670662778743	0.46662561153644266	0.873807820308385	0.05858407280843666	0.0016047005903986706	-0.0	not
KP-3_NPC-26	1	1.0	0.9998	1.067	1.004	1.025	0.9289	0.9689	1.048	1.06	1.004	0.9326		1.018	1.025	0.9643	1.057	1.069	1.0	0.9998	1.067	1.004	1.025	0.9289	0.9689	1.048	1.06	1.004	0.9326		1.018	1.025	0.9643	1.057	1.069	0.0	4.764262712805239	10.0	1.0024592213768517	1.0677001570652598	0.09448741157101173	1.0077434336114364	0.0385069153553518	0.20945787381752334	1.5391354537783917	234.624611664502	0.01233394658614454	0.044630024152410436	1.0090679023016893	0.04334025924657717	1.0671707639478014	0.4893504886761928	0.31037997364886033	0.13364727563377327	3.7004692793940454e-05	not
KP-4_CIL70	1	1.0	1.052	1.046	1.032	1.056	1.047	1.017	0.995	1.025	1.038	1.019	0.7059000000000001	0.7372	0.2717	0.02369	0.0153	0.01659	1.0	1.052	1.046	1.032	1.056	1.047	1.017	0.995	1.025	1.038	1.019	0.7059000000000001	0.7372	0.2717	0.02369	0.0153	0.01659	0.0	5.5212047366646795	1.8158094210703826	1.030831774835445	0.0001	-6.729567796085827	0.7743525369182621	0.05854103417038856	0.9783735185352072	0.05843471320328896	0.37637280364775233	0.021504518958773654	0.055963857064561966	0.7657884375	0.39810444759105573	192.2950943179986	9.806279538072094e-11	10.008495730903032	105.72024204256395	8.531294292855154	down
KP-4_NPC-26	1	1.0	1.065	1.063	1.042	1.023	1.036	1.063	1.048	1.022	0.9872	1.02	1.014	0.9493	0.9822	0.9989	0.9766	0.9207	1.0	1.065	1.063	1.042	1.023	1.036	1.063	1.048	1.022	0.9872	1.02	1.014	0.9493	0.9822	0.9989	0.9766	0.9207	0.0	5.730315766006505	0.522271651475911	1.0512513307140945	0.9335083283592134	-0.06907427279336496	1.0130550165316363	0.02379393642073223	0.6355436488584773	1.3171801870373616	0.5489925887081256	0.018520345251005713	0.08207305073837087	1.0133302083333333	0.03942420415592071	7.417618132484258	0.0026129688859865426	2.582865761617797	0.12603491372251266	4.814980759716127e-06	not
KP-N-S19s_CIL70	1	1.0	1.006	1.028	0.9842	1.013	1.019	0.984	1.05	0.9705	0.9542	0.8974	0.9174	0.8916	0.815	0.358	0.04097	0.02935	1.0	1.006	1.028	0.9842	1.013	1.019	0.984	1.05	0.9705	0.9542	0.8974	0.9174	0.8916	0.815	0.358	0.04097	0.02935	0.0	5.087602989120374	2.674206902957887	0.9817578467885659	0.0001	-6.163467954621023	0.8315706351206545	0.04025608322272462	0.984699845151883	0.034639956111543954	0.47006976729430106	0.013222536352896963	0.04776678564893028	0.8199621875000002	0.32545146975745115	273.52833465662354	1.303155385900071e-11	10.885003796708354	129.37534092368335	9.027964522074937	down
KP-N-S19s_NPC-26	1	1.0	1.045	0.9992	0.9721	1.012	0.958	1.0490000000000002	1.003	1.01	0.9954	1.007	1.019	0.987	1.005	1.0659999999999998	1.05	1.024	1.0	1.045	0.9992	0.9721	1.012	0.958	1.0490000000000002	1.003	1.01	0.9954	1.007	1.019	0.987	1.005	1.0659999999999998	1.05	1.024	0.0	5.195818119699077	10.0	1.003943083276582	1.046869996792922	0.06608229491665697	1.0115157923004434	0.022360898922111433	0.34036151974884177	1.058478111272683	97.78842753555486	0.007093214013792171	0.01809882909095808	1.0118875	0.027531914803017036	2.1929275389507903	0.14201720332207082	0.8476590439598501	0.09550633764076799	-0.0	not
KP-N-YN_NPC-26	1	1.0	1.233	1.087	1.214	1.03	1.117	1.001	0.9448	1.144	1.195	1.075	1.04	0.9394	0.9704	0.9075		0.9492	1.0	1.233	1.087	1.214	1.03	1.117	1.001	0.9448	1.144	1.195	1.075	1.04	0.9394	0.9704	0.9075		0.9492	0.0	5.870624125747302	3.7500772454537215	1.0993891817012003	0.9371466155228917	-0.09365257170840938	1.0465617414415898	0.07643134646712042	0.42336664083062814	0.28698917289602593	9.089206650265078	0.027599388452553646	0.05258076786814775	1.0490957446808509	0.10072582693756692	2.9470216678014696	0.07127270088982553	1.1470767832358508	0.17868969709176233	0.0012665357843964957	
KPL-1_CIL70	1	1.0	1.123	1.055	1.126	1.123	1.033	1.069	1.088	1.104	1.087	1.096	0.9583	1.013	1.011	0.6017	0.01816	0.01498	1.0	1.123	1.055	1.126	1.123	1.033	1.069	1.088	1.104	1.087	1.096	0.9583	1.013	1.011	0.6017	0.01816	0.01498	0.0	4.981201979115821	3.7054158891035835	1.0700769063200275	0.0001	-7.072237089873434	0.9319040616268326	0.04751072266956058	0.9813417234606289	0.028952644913046277	0.9874223301137629	0.015068387614417629	0.056319152500062246	0.9165506249999998	0.34783909817861786	223.55457940986784	4.142700691445997e-11	10.382716443179879	121.27172302421393	8.868613133074401	down
KPL-1_NPC-26	1	1.0	1.15	1.101	1.272	1.11	1.221	1.053	1.146	0.9951	1.124	1.03	1.089	0.8663	1.104	0.5751	0.0997	0.01609	1.0	1.15	1.101	1.272	1.11	1.221	1.053	1.146	0.9951	1.124	1.03	1.089	0.8663	1.104	0.5751	0.0997	0.01609	0.0	4.979580524165611	3.235197954025279	1.099066524885158	0.0001	-6.123524424276398	0.9573143451581974	0.08989215836667215	0.935785881325524	0.06149970268047337	1.4067953163598765	0.028736100528029326	0.11526610230382586	0.9432046875000001	0.3547699902965122	61.9471155078681	5.8854912281793043e-08	7.2302172832395195	41.79224410712842	6.290403273000014	down
KRIJ_NPC-26	1	1.0	0.9459	0.9916	1.031	0.9722	0.9472	1.115	1.064	0.8966	0.9772	0.9142	1.157	0.945	0.8316				1.0	0.9459	0.9916	1.031	0.9722	0.9472	1.115	1.064	0.8966	0.9772	0.9142	1.157	0.945	0.8316				0.0	5.5346491452427315	6.9722905106380155	1.0006527561292473	0.833446639779675	-0.2562069338921449	0.9897945225061278	0.0698811716079439	0.2896940621235753	3.8687827829818815	350.9638586048756	0.024974171883837427	0.9673900284372646	0.9865833333333336	0.0829330613129056	1.4295024037263266	0.33967657064864554	0.46893440776323864	0.464785193801071	0.05876705442283993	not
